country_code,country_name,adm_div_name,adm_div_code,area,pop_gpw,builtup_fraction,builtup_km2_2020,builtup_volume_2020,burned_area_pixels_2020,cloud_fraction_mean,co2_emissions_2020,cropland_area_km2,elevation_mean_m,et_mean_mm_2020,et_total_mm_km2_2020,forest_area_km2,forest_fraction,forest_loss_pixels,gdp_per_capita_2020,gdp_total_2020,ndvi_mean_2020,nightlights_per_km2,nightlights_sum_2020,pm25_annual_2019,pm25_total_2019,pop_ghsl,pop_wp,precip_annual_mm,precip_total_mm_km2,ruggedness_mean,soil_organic_carbon_g_per_kg,temp_annual_mean_C,travel_time_to_city_min,tree_cover_km2_2000,tree_cover_pct_2000,urban_area_km2,urban_fraction,water_area_km2,water_occurrence_pct
VNM,Viet Nam,Gia Lai,VNM021,15606.254985907535,1655708.484963493,0.006368428626198,99.387321,395145925.0,1668.0,7024.15,1719080.6094970703,4141.773793607559,527.3085136654114,240.3386746931907,3750786.6402370166,3755.3984075034614,0.2406341823130911,15803.650980392156,5527.738461538462,9152323473.428276,6107.536474444383,1.7763613387730313,27722.348,19.727242337740385,307868.3740915671,1613564.690203145,1687063.4149384813,1875.2874179936516,29266213.617073093,72.75088835087618,4.495841837466965,23.67206399393221,116.3845089467762,5948.574223191958,38.11660278884029,46.10410417764435,0.0029542067728149,10008.028089119993,64.12831328308586
VNM,Viet Nam,Ho Chi Minh,VNM029,1476.848580714394,10362575.32616197,0.1584912698949643,234.067607,2022154999.0,0.0,7626.45703125,9624653.5,378.98672465957424,5.749446029289324,170.81585441119157,252269.15215068482,4.159688306449557,0.0028165976937442,174.90196078431376,20584.0,213303250513.718,4286.238045051753,64.82260351544714,95733.17,29.411595662434895,43436.4733106126,10116941.860705933,10494791.41705092,1854.273388591336,2738481.0221975846,3.1725297376386226,3.8177046038358657,27.28584255389223,6.171689626530011,91.44432292247495,6.191855015917794,509.7131861599276,0.3451357118231882,988.6830628150702,66.94545911652065
VNM,Viet Nam,Hai Duong,VNM025,1607.1052499346154,1695941.9078180054,0.0718059187503089,115.399669,487641232.0,0.0,8142.691964285715,22189808.69921875,982.8347398721914,10.939526871473678,198.6643075331135,319274.4516110916,31.029435892969182,0.0193076563555695,186.23921568627455,8643.857142857143,14659479573.763435,4685.070354884404,10.613820719392198,17057.527,35.566885811941965,57159.728912196915,1797207.201271336,1711453.7591627657,1632.248502253488,2623195.1371694934,7.931178027812852,3.4015051209388205,24.033504635227743,7.455164294516187,47.92088351731653,2.9818136378601325,224.96341022402743,0.1399805085778794,829.4655490360695,51.61239745
VNM,Viet Nam,Hanoi,VNM027,3378.628031382342,8450160.68678381,0.0829884516423909,280.387109,1585313687.0,0.0,8392.216517857143,4561891.607421875,1805.3506685199377,26.483616249039542,196.63936062957495,664371.2558961833,95.25982802038698,0.028194825572856,451.7137254901961,11394.32142857143,96283846988.29262,4611.734930556951,23.392734940301565,79035.35,40.374930245535715,136411.8710926737,7445194.217877152,8435635.623162638,1689.2931400907548,5707493.156332523,17.385981261359685,3.0969495315520423,23.71475925779417,6.334231408648834,126.2581975774,3.73696649659721,345.0563494295169,0.1021291323651096,1823.869582970039,53.982550491769146
VNM,Viet Nam,Ha Nam,VNM023,848.86941139018,761416.2055108167,0.057466891073517,48.781886,176302248.0,0.0,8163.585379464285,6077251.6015625,537.5130298470368,23.86416777722011,204.55179605278244,173637.76271412955,17.538173461601826,0.0206606260353755,91.54117647058824,11466.0,8730398212.387024,4520.770527303958,12.724498438824243,10801.4375,38.659005301339285,32816.447075077725,814230.1090750765,764590.7009676219,1669.120348414567,1416865.2076980455,17.23749728711204,3.813723110865968,24.184025806563255,8.4846212429359,42.156527141369956,4.966196988101018,43.48331022034075,0.0512249701036215,267.6969310414214,31.535702364751064
VNM,Viet Nam,Hoa Binh,VNM030,4592.538905653042,836240.6836395167,0.0065109290556457,29.901695,86062993.0,1.0,8104.55234375,6625735.13269043,1629.785964699318,314.85144688728053,249.59595458916945,1146279.1321443706,1045.8879089963425,0.227736319818421,6052.588235294116,11312.075,9459617331.381489,6775.546332425559,2.2638917630511797,10397.011,31.562960815429687,144954.1255224633,763347.3315848276,814469.2871338711,1729.7496041200268,7943942.35395917,129.64042557037263,4.771174792990835,22.386161618098463,45.68867237122791,2084.4479552420535,45.38770379661384,7.016044922736738,0.001527705059635,3730.661620440808,81.23309779365543
VNM,Viet Nam,Haiphong,VNM026,1266.4844931529417,1899926.2542953596,0.0865864213836507,109.66036,584136510.0,0.0,8074.643629807692,13350426.59765625,427.1097480008199,14.531628400063886,209.58075538457092,265430.77675783896,125.58718243547544,0.099162037209649,6.341176470588235,13276.53846153846,25224443989.23904,4131.477574423063,21.32007943719787,27001.55,29.927328256460335,37902.497158304875,1855074.279121572,1967240.1812432944,1710.8788526684082,2166801.536567835,7.919198083658472,3.790504192529668,24.083419410969817,12.88606682824867,107.56362168998102,8.493086356091021,234.2706303548945,0.1849771012763627,739.4926086832675,58.38939305465036
VNM,Viet Nam,Ha Tinh,VNM024,5978.3422574349825,1184568.3086484277,0.0192307089573234,114.96776,402260071.0,23.0,7725.220588235294,8723117.335571289,870.3593128714606,170.35214073221405,253.969982308021,1518319.477352057,2967.657089246287,0.4964013369350929,8079.501960784314,5424.764705882353,6426004352.462745,6064.306741246407,3.010281316299449,17996.492,26.47418332567402,158271.72890695758,1216641.899893053,1166010.5114878474,2157.3076427871847,12897123.443162078,82.45759989692763,6.527701780161236,24.17545884026825,98.6333475002656,2925.791762384216,48.939850486906245,97.38580117895914,0.0162897667924323,3876.15116777774,64.83655503257869
VNM,Viet Nam,Hau Giang,VNM028,1633.25912587036,678298.2498275384,0.0417059993243269,68.116704,217867960.0,1598.0,7787.44375,1418361.501953125,1296.907149059095,2.096303886373908,231.31982099214176,377805.20863011363,4.802220662819861,0.0029402686853262,25.188235294117646,7006.266666666666,4752338417.825021,5804.275755089099,4.26701941511342,6969.1484,26.60679931640625,43455.797793721766,759367.9743302008,676614.3431132266,1765.218991161123,2883060.026473575,0.8962145461967603,6.063012264751926,26.998236957627817,21.25252326849944,180.83954222951272,11.072311757826164,22.1558562072032,0.0135654262426952,321.1762484682436,19.664745378176875
VNM,Viet Nam,Hung Yen,VNM031,908.34511719959,1186766.8901036878,0.0737615612516998,67.000954,300427075.0,0.0,8136.66357421875,1100524.796875,704.6540159134507,5.806710342015934,194.06088201805065,176274.25462054202,0.0,0.0,0.996078431372549,8884.75,10544127126.84874,4648.094815988044,14.084670856648463,12793.742,39.33915710449219,35733.53127061304,1198115.5041078895,1184707.8433500342,1682.913906883816,1528666.6299851998,0.9233891594001872,3.062853743312242,24.117813969445617,5.088460637962911,1.1580708756105735,0.1274923873847512,102.42680645720972,0.1127619937816031,352.14470848600496,38.767721851322335
